CHR,START,STOP,CG,REGION
chr1,25844672,25844673,cg03538708,chr1:25844672-25844690
chr1,53103294,53103295,cg12527995,chr1:53103294-53103295
chr1,211526705,211526706,cg13066703,chr1:211526705-211526706
chr1,221737206,221737207,cg14201387,chr1:221737032-221737207
chr1,221737032,221737033,cg14415956,chr1:221737032-221737207
chr1,47701206,47701207,cg15496956,chr1:47701206-47701207
chr1,167604788,167604789,cg16410524,chr1:167604788-167604789
chr2,106415145,106415146,cg01051524,chr2:106415145-106415146
chr2,7739870,7739871,cg05605194,chr2:7739760-7739871
chr2,101181112,101181113,cg16238207,chr2:101181112-101181113
chr2,7739760,7739761,cg16442452,chr2:7739760-7739871
chr2,25496390,25496391,cg20303441,chr2:25496390-25496391
chr2,37617601,37617602,cg23521140,chr2:37617601-37617602
chr2,161508799,161508800,cg25831439,chr2:161508799-161508800
chr2,127839539,127839540,cg27405400,chr2:127839539-127839540
chr3,194303263,194303264,cg00572212,chr3:194303263-194303506
chr3,189526150,189526151,cg02637593,chr3:189526150-189526244
chr3,126261298,126261299,cg04527018,chr3:126261298-126261299
chr3,194303505,194303506,cg06311102,chr3:194303263-194303506
chr3,194303420,194303421,cg11640740,chr3:194303263-194303506
chr3,189526243,189526244,cg12184854,chr3:189526150-189526244
chr3,61728795,61728796,cg14044282,chr3:61728795-61728796
chr3,194303459,194303460,cg14994893,chr3:194303263-194303506
chr4,185975059,185975060,cg00339430,chr4:185975059-185975123
chr4,185975098,185975099,cg00451227,chr4:185975059-185975123
chr4,185975122,185975123,cg10356544,chr4:185975059-185975123
chr4,188924752,188924753,cg14725631,chr4:188924717-188924753
chr4,188924717,188924718,cg18065397,chr4:188924717-188924753
chr4,154727550,154727551,cg26955455,chr4:154727550-154727551
chr5,51813680,51813681,cg06998119,chr5:51813651-51813704
chr5,51813703,51813704,cg08778123,chr5:51813651-51813704
chr5,14734004,14734005,cg09872185,chr5:14733886-14734005
chr5,14733886,14733887,cg12465520,chr5:14733886-14734005
chr5,170919715,170919716,cg12528981,chr5:170919715-170920071
chr5,51813682,51813683,cg16683965,chr5:51813651-51813704
chr5,51813651,51813652,cg18616279,chr5:51813651-51813704
chr5,11931819,11931820,cg20431848,chr5:11931819-11931820
chr5,120272574,120272575,cg22455892,chr5:120272574-120272575
chr6,16804166,16804167,cg07355507,chr6:16803812-16804167
chr6,125743207,125743208,cg08126875,chr6:125743207-125743208
chr6,162294525,162294526,cg09745638,chr6:162294525-162294526
chr6,137477184,137477185,cg23507945,chr6:137477184-137477185
chr6,97439763,97439764,cg24158437,chr6:97439763-97439764
chr7,149171786,149171787,cg00241650,chr7:149171379-149172232
chr7,105160482,105160483,cg02135003,chr7:105160482-105160483
chr7,149171379,149171380,cg07499066,chr7:149171379-149172232
chr7,98122173,98122174,cg12945772,chr7:98122011-98122174
chr7,149172231,149172232,cg14222657,chr7:149171379-149172232
chr7,98122011,98122012,cg24113266,chr7:98122011-98122174
chr7,149171601,149171602,cg26504749,chr7:149171379-149172232
chr8,144190362,144190363,cg00562871,chr8:144190362-144190485
chr8,51404179,51404180,cg13264850,chr8:51404106-51404180
chr8,144190484,144190485,cg14775504,chr8:144190362-144190485
chr8,6118575,6118576,cg18119380,chr8:6118526-6118576
chr8,6118526,6118527,cg23982568,chr8:6118526-6118576
chr8,51404106,51404107,cg27532331,chr8:51404106-51404180
chr9,102761263,102761264,cg05469304,chr9:102761263-102761264
chr9,107091808,107091809,cg14615537,chr9:107091808-107091809
chr10,131005737,131005738,cg01432329,chr10:131005696-131005779
chr10,100162797,100162798,cg03340619,chr10:100162672-100162832
chr10,130935309,130935310,cg06489728,chr10:130935309-130935372
chr10,100162672,100162673,cg09627339,chr10:100162672-100162832
chr10,8051329,8051330,cg11399415,chr10:8051100-8051330
chr10,12490844,12490845,cg12273284,chr10:12490844-12490845
chr10,131005778,131005779,cg16639311,chr10:131005696-131005779
chr10,8051100,8051101,cg16828585,chr10:8051100-8051330
chr10,100162831,100162832,cg18802022,chr10:100162672-100162832
chr10,130935371,130935372,cg25805837,chr10:130935309-130935372
chr10,131005696,131005697,cg26791879,chr10:131005696-131005779
chr11,50129456,50129457,cg05042749,chr11:50129456-50129457
chr11,65661516,65661517,cg07420137,chr11:65661516-65661517
chr11,128595713,128595714,cg12940747,chr11:128595713-128595714
chr12,90150622,90150623,cg10255237,chr12:90150622-90150623
chr12,114162813,114162814,cg15320905,chr12:114162813-114162814
chr14,52867870,52867871,cg11802899,chr14:52867870-52867871
chr14,91696240,91696241,cg16440978,chr14:91696151-91696241
chr16,10449523,10449524,cg06890779,chr16:10449523-10449524
chr19,3507867,3507868,cg03009240,chr19:3507867-3507868
chr21,45336903,45336904,cg09731946,chr21:45336673-45336904
chr21,45336673,45336674,cg09777775,chr21:45336673-45336904
chr22,37813098,37813099,cg00107982,chr22:37813098-37813099
chr22,40420987,40420988,cg14290616,chr22:40420987-40420988
chr14,101192591,101192592,cg15831296,DLK1
chr14,101192386,101192387,cg18392604,DLK1
chr14,101192277,101192278,cg16544010,DLK1
chr14,101192720,101192721,cg18864857,DLK1
chr14,101192273,101192274,cg06504820,DLK1
chr14,101192416,101192417,cg10113715,DLK1
chr14,101192599,101192600,cg09865386,DLK1
chr14,101192634,101192635,cg13684115,DLK1
chr14,101192852,101192853,cg14092276,DLK1
chr14,101192860,101192861,cg18373878,DLK1
chr14,101192913,101192914,cg10528576,DLK1
chr14,101192374,101192375,cg16103098,DLK1
chr14,101192374,101192375,cg09212014,DLK1
chr14,101192374,101192375,cg23522522,DLK1
